Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Year_of_existence,Actual_date,Year
DealShare,2018-01-01,Jaipur,Retail,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Gamerji,2018-01-01,Ahmedabad,Media & Entertainment,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Ethereum Push Notification Service,2020-01-01,Mumbai,IT & Technology,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Mihup,2016-01-01,Kolkata,IT & Technology,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
RuralBasket,2019-01-01,Tirunelveli,Retail,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Infra.Market,2016-01-01,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series_B,2020-01-01,1461 days,2021-01-01,2021
Codingal,2020-01-01,Bengaluru,Education,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed,2020-01-01,0 days,2017-01-01,2017
CRED,2018-01-01,Bengaluru,IT & Technology,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Let's Dive,2020-01-01,Bengaluru,IT & Technology,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,1700000.0,Seed,2020-01-01,0 days,2017-01-01,2017
SAWO Labs,2020-01-01,Mumbai,IT & Technology,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Kyt,2020-01-01,Singapore,Education,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,2500000.0,Seed,2020-01-01,0 days,2017-01-01,2017
GetWork,2019-01-01,Gurugram,Business Services,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Pre_seed,2020-01-01,365 days,2018-01-01,2018
Mobile Premier League (MPL),2018-01-01,Bengaluru,Others,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Series_B,2020-01-01,730 days,2019-01-01,2019
Omatra Hotels,2017-01-01,Kolkata,Travel & Tourism,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Awign,2016-01-01,Bengaluru,Business Services,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
NewsReach,2018-01-01,Gujarat,Others,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Credgenics,2018-01-01,New Delhi,IT & Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
GeoIQ,2018-01-01,Bengaluru,IT & Technology,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Power Gummies,2018-01-01,New Delhi,Healthcare & Life sciences,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,3000000.0,Bridge,2020-01-01,730 days,2019-01-01,2019
AlgoBulls,2019-01-01,Mumbai,IT & Technology,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,200000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Credgenics,2018-01-01,Gurugram,IT & Technology,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Ensuredit,2019-01-01,Gurugram,IT & Technology,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000.0,Seed,2020-01-01,365 days,2018-01-01,2018
LightSpeedAI,2019-01-01,Bengaluru,IT & Technology,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, PV Ramana","YourNest, growX ventures",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Grip Invest,2020-01-01,Gurugram,IT & Technology,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,3000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Yellow Classes,2020-01-01,Gurugram,Education,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Plum,2019-01-01,Bengaluru,Healthcare & Life sciences,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000.0,Seed,2020-01-01,365 days,2018-01-01,2018
STAGE,2019-01-01,Indore,Media & Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
NIRA,2017-01-01,Bengaluru,IT & Technology,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Prolixr,2018-01-01,Gurugram,Consumer Goods,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
DaMENSCH,2018-01-01,Bengaluru,Retail,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
SignalX,2018-01-01,Hyderabad,IT & Technology,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Lancify,2018-01-01,Bengaluru,Education,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Instoried,2018-01-01,Bengaluru,IT & Technology,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Arata,2017-01-01,New Delhi,Retail,Arata is an e-commerce site for beauty products and cosmetics.,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
MPL,2018-01-01,Bengaluru,Others,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Thrive,2020-01-01,Mumbai,Consumer Goods,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.","Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital",3000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Kitchens Centre,2019-01-01,New Delhi,Real Estate,Kitchens Centre offers turnkey solutions to cloud kitchens.,Lakshay Jain,"Jonathan Swanson, Ankush Gera",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Prescribe,2019-01-01,Chennai,Healthcare & Life sciences,Provide online services to patients by leveraging WhatsApp.,Nived Narayanan,Titan Capital,100000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Arzooo,2016-01-01,Bengaluru,IT & Technology,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Slice,2016-01-01,Bengaluru,IT & Technology,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",5000000.0,IPO,2020-01-01,1461 days,2021-01-01,2021
Rapawalk,2017-01-01,Bengaluru,Retail,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",300000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Oga Fit's,2017-01-01,Bengaluru,Healthcare & Life sciences,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,9Unicorns,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
LAVAL,2016-01-01,Bengaluru,Consumer Goods,"Laval Cosmetics, affordable makeup for all ages","Shrishti, Prithika",Jazal Group,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Stride Ventures,2019-01-01,New Delhi,IT & Technology,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Ishpreet Gandhi,Small Industries Development Bank of India,80000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
BlackSoil,2016-01-01,Mumbai,IT & Technology,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,Undisclosed,10000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
GalaxyCard,2017-01-01,Gurugram,IT & Technology,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,"Amit Kumar, Gunjeet Singh",India Accelerator,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
MoooFarm,2019-01-01,Gurugram,Agriculture,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",500000.0,Pre_seed,2020-01-01,365 days,2018-01-01,2018
BitClass,2020-01-01,Bengaluru,IT & Technology,BitClass is a PaaS solution which helps teachers set up their independent live classes,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Gonuts,2020-01-01,Mumbai,Others,Personalised Video shoutouts from favourite celebrity.,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",400000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Jade Forest,2017-01-01,Delhi,Consumer Goods,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.","Punweet Singh, Shuchir Suri",Undisclosed,250000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
FrontRow,2017-01-01,Bengaluru,Education,"Comprehensive courses, taught by idols.","Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",3200000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
TUBBR,2019-01-01,Frisco,Others,World's First Personal Social Network,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
LivFin,2017-01-01,New Delhi,IT & Technology,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),Rakesh Malhotra,"DEG, KFW DEG",4700000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Lattu Kids,2017-01-01,Mumbai,Education,Lattu kids is an edutainment platform for preschool kids.,Vivek Bhutyani,Mumbai Angels Network,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Eggoz,2016-01-01,Indore,Consumer Goods,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",1500000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Steradian Semiconductors,2016-01-01,Bengaluru,IT & Technology,Semiconductor company focused on CMOS millimeter wave products for Radar.,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
CHARGE+ZONE,2018-01-01,Gujarat,Transportation & Logistics,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.","Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Gully Network,2019-01-01,Bengaluru,Retail,Gully Network is a tech-enabled network of mid-sized grocery stores.,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",1200000.0,Seed,2020-01-01,365 days,2018-01-01,2018
TurboHire,2018-01-01,Hyderabad,Business Services,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",1000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Traya,2017-01-01,Mumbai,Healthcare & Life sciences,work with our customers closely to get their hair health sorted for long-term effective results,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Mitron TV,2020-01-01,Bengaluru,Others,Mitron is a free short videoplatform for next generation,"Shivank Agarwal, Anish Khandelwal",9Unicorns,3000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Svami,2016-01-01,Mumbai,Consumer Goods,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,Sahil Jatana,"Niren Shah, Rukam Capital Trust",800000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Dhurnia,2018-01-01,Dhingsara,Education,Developer of an online learning platform intended for various competitive exam preparations.,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",100000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Expertrons,2019-01-01,Mumbai,Education,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Bizlog,2016-01-01,Bengaluru,Transportation & Logistics,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,1000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Tamasha.live,2020-01-01,Mumbai,Others,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.","Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",300000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Fedo,2017-01-01,Bengaluru,IT & Technology,Artificial Intelligence based Credit Score for Health,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Freshokartz,2016-01-01,Jaipur,Agriculture,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
